Days for shipping (real),Days for shipment (scheduled),Delivery Status,Shipping Mode,shipping date (DateOrders),Ship Id
5,2,Late delivery,Second Class,4/7/2017 16:43,702889
4,2,Late delivery,Second Class,5/9/2017 14:23,288514
5,2,Late delivery,Second Class,4/30/2015 4:44,960625
5,2,Late delivery,Second Class,4/30/2015 1:14,188319
3,2,Late delivery,Second Class,6/9/2017 15:03,167323
4,2,Late delivery,Second Class,2/22/2017 16:36,831100
4,2,Late delivery,Second Class,4/30/2015 3:10,738085
4,2,Late delivery,Second Class,4/14/2015 0:02,848012
4,2,Late delivery,Second Class,4/15/2017 15:49,391749
6,2,Late delivery,Second Class,3/22/2017 2:54,130512
2,2,Shipping on time,Second Class,3/31/2015 10:33,789848
4,2,Late delivery,Second Class,2/7/2015 0:28,225622
4,2,Late delivery,Second Class,2/22/2017 13:05,750913
4,2,Late delivery,Second Class,1/22/2017 19:37,201182
5,4,Late delivery,Standard Class,3/18/2015 18:59,643855
6,4,Late delivery,Standard Class,2/13/2017 9:47,747447
4,4,Shipping on time,Standard Class,4/7/2015 19:08,839748
2,4,Advance shipping,Standard Class,4/15/2017 14:25,806379
6,4,Late delivery,Standard Class,4/8/2015 3:33,413901
2,4,Advance shipping,Standard Class,2/2/2017 11:43,731126
3,4,Advance shipping,Standard Class,4/2/2017 23:12,438284
5,4,Late delivery,Standard Class,3/30/2017 23:02,581622
4,4,Shipping on time,Standard Class,2/9/2017 1:01,431730
3,4,Advance shipping,Standard Class,4/18/2017 14:04,304396
3,4,Advance shipping,Standard Class,2/18/2015 18:40,929789
3,4,Advance shipping,Standard Class,5/30/2017 16:48,227035
4,4,Shipping on time,Standard Class,3/1/2015 20:46,233940
2,4,Advance shipping,Standard Class,6/2/2017 11:33,861968
4,4,Shipping on time,Standard Class,1/19/2015 4:32,696863
5,4,Late delivery,Standard Class,5/1/2017 15:16,713704
6,4,Late delivery,Standard Class,3/13/2017 19:12,987013
4,4,Shipping on time,Standard Class,4/24/2017 18:47,197834
5,4,Late delivery,Standard Class,3/8/2017 6:14,407840
4,4,Shipping on time,Standard Class,6/8/2017 16:06,418392
3,4,Advance shipping,Standard Class,5/19/2017 21:33,983167
3,4,Advance shipping,Standard Class,5/30/2015 1:32,901340
5,4,Late delivery,Standard Class,4/2/2017 5:20,287879
6,4,Late delivery,Standard Class,5/8/2017 3:00,338229
4,4,Shipping on time,Standard Class,4/7/2017 23:53,232813
2,4,Advance shipping,Standard Class,5/2/2015 23:49,116696
5,4,Late delivery,Standard Class,5/2/2017 3:32,321944
4,4,Shipping on time,Standard Class,2/6/2015 3:27,174149
5,4,Late delivery,Standard Class,2/18/2017 16:05,165142
2,4,Advance shipping,Standard Class,5/29/2017 23:28,437925
5,4,Late delivery,Standard Class,3/24/2017 19:53,602002
4,4,Shipping on time,Standard Class,5/11/2015 15:56,417120
6,4,Late delivery,Standard Class,5/3/2015 11:23,887704
6,4,Late delivery,Standard Class,4/20/2017 18:06,783910
2,4,Advance shipping,Standard Class,5/9/2015 1:13,402418
3,4,Advance shipping,Standard Class,6/15/2017 5:55,326152
2,4,Advance shipping,Standard Class,3/28/2017 15:30,638625
2,4,Advance shipping,Standard Class,2/19/2017 11:52,878869
6,4,Late delivery,Standard Class,1/31/2017 1:13,602859
3,4,Advance shipping,Standard Class,2/9/2017 6:27,189182
5,4,Late delivery,Standard Class,5/27/2017 6:08,308837
5,4,Late delivery,Standard Class,2/26/2017 1:00,788735
5,4,Late delivery,Standard Class,1/11/2015 19:26,944609
6,2,Late delivery,Second Class,1/21/2017 4:44,283272
6,2,Late delivery,Second Class,11/3/2016 19:23,855917
3,2,Late delivery,Second Class,9/22/2016 13:39,150817
5,2,Late delivery,Second Class,8/30/2016 22:16,841212
4,2,Late delivery,Second Class,10/11/2016 23:26,916188
4,2,Late delivery,Second Class,11/7/2016 21:49,141500
3,2,Late delivery,Second Class,11/6/2017 13:05,234159
4,2,Late delivery,Second Class,10/18/2017 11:42,335016
3,2,Late delivery,Second Class,11/7/2017 1:21,886460
6,2,Late delivery,Second Class,10/22/2017 1:12,983433
3,2,Late delivery,Second Class,11/6/2017 18:20,872025
6,2,Late delivery,Second Class,10/19/2017 3:08,154287
6,2,Late delivery,Second Class,11/8/2017 10:06,948272
5,2,Late delivery,Second Class,11/3/2017 12:55,641235
2,2,Shipping on time,Second Class,10/15/2017 8:44,455295
3,2,Late delivery,Second Class,10/14/2017 6:17,843817
5,2,Late delivery,Second Class,11/4/2017 1:10,377144
4,2,Late delivery,Second Class,10/17/2017 14:41,416604
2,2,Shipping on time,Second Class,11/5/2017 3:58,385453
4,2,Late delivery,Second Class,10/14/2017 4:21,834360
4,2,Late delivery,Second Class,11/8/2017 5:12,520780
5,2,Late delivery,Second Class,10/31/2017 14:51,600978
2,2,Shipping on time,Second Class,10/15/2017 13:59,359157
6,2,Late delivery,Second Class,11/7/2017 20:05,940902
4,2,Late delivery,Second Class,10/21/2017 11:32,664010
3,2,Late delivery,Second Class,11/4/2017 19:02,401992
3,2,Late delivery,Second Class,10/16/2017 12:35,515749
6,2,Late delivery,Second Class,11/7/2017 18:20,892514
5,2,Late delivery,Second Class,11/6/2017 5:44,958205
5,2,Late delivery,Second Class,11/7/2017 13:15,161980
4,2,Late delivery,Second Class,10/17/2017 18:11,812767
3,2,Late delivery,Second Class,10/14/2017 22:03,809273
6,2,Late delivery,Second Class,11/9/2017 14:08,550650
5,2,Late delivery,Second Class,10/31/2017 18:21,468040
2,2,Shipping on time,Second Class,10/13/2017 2:26,184242
5,2,Late delivery,Second Class,10/7/2017 11:01,393209
5,2,Late delivery,Second Class,9/13/2017 3:42,203201
6,2,Late delivery,Second Class,9/23/2015 23:17,411221
4,2,Late delivery,Second Class,10/6/2015 7:40,729477
5,2,Late delivery,Second Class,8/13/2017 10:13,480853
4,2,Late delivery,Second Class,8/21/2015 18:35,207589
4,2,Late delivery,Second Class,9/27/2015 9:57,470549
5,2,Late delivery,Second Class,10/28/2015 8:31,528462
5,2,Late delivery,Second Class,7/16/2015 18:49,853304
5,4,Shipping canceled,Standard Class,5/13/2016 17:42,113196
5,4,Shipping canceled,Standard Class,4/7/2016 19:51,650091
6,4,Shipping canceled,Standard Class,8/20/2016 2:51,797872
2,4,Shipping canceled,Standard Class,5/20/2016 16:38,270198
3,4,Shipping canceled,Standard Class,5/8/2016 13:40,189149
3,4,Shipping canceled,Standard Class,4/24/2016 2:50,401465
2,4,Shipping canceled,Standard Class,7/3/2016 8:10,418571
6,4,Shipping canceled,Standard Class,12/23/2016 8:48,815537
4,4,Shipping canceled,Standard Class,9/3/2016 14:02,912515
2,4,Shipping canceled,Standard Class,7/29/2016 6:01,311241
4,4,Shipping canceled,Standard Class,7/21/2016 10:14,502943
6,4,Shipping canceled,Standard Class,7/12/2016 10:26,212770
2,4,Shipping canceled,Standard Class,9/11/2016 22:05,805227
6,4,Shipping canceled,Standard Class,9/1/2016 12:38,721745
4,4,Shipping canceled,Standard Class,1/20/2017 22:04,516320
5,4,Shipping canceled,Standard Class,10/3/2016 10:19,787109
2,4,Shipping canceled,Standard Class,9/5/2016 15:26,650271
2,4,Advance shipping,Standard Class,9/18/2016 1:13,763343
4,4,Shipping on time,Standard Class,10/24/2016 3:59,181041
5,4,Late delivery,Standard Class,1/12/2017 0:11,348972
5,4,Late delivery,Standard Class,10/15/2016 6:06,675785
2,4,Advance shipping,Standard Class,9/8/2016 13:30,233205
5,4,Late delivery,Standard Class,1/11/2017 1:25,438295
6,4,Late delivery,Standard Class,1/3/2017 7:33,114740
5,4,Late delivery,Standard Class,8/30/2016 18:46,812398
4,4,Shipping on time,Standard Class,9/9/2016 10:10,420238
5,4,Late delivery,Standard Class,12/3/2016 9:00,641667
3,4,Advance shipping,Standard Class,9/5/2016 13:30,593191
4,4,Shipping on time,Standard Class,11/23/2016 21:27,101464
2,4,Advance shipping,Standard Class,9/16/2016 5:26,831815
5,4,Late delivery,Standard Class,11/10/2016 9:13,798886
4,4,Shipping on time,Standard Class,12/12/2016 12:08,161391
5,4,Late delivery,Standard Class,1/19/2017 14:22,798177
5,4,Late delivery,Standard Class,11/10/2016 19:43,726150
3,4,Advance shipping,Standard Class,9/20/2016 23:07,259470
3,4,Advance shipping,Standard Class,11/17/2016 13:14,499296
5,4,Late delivery,Standard Class,12/16/2016 15:49,351257
2,4,Advance shipping,Standard Class,11/10/2016 13:14,380239
4,4,Shipping on time,Standard Class,11/26/2016 2:00,289574
2,4,Advance shipping,Standard Class,9/2/2016 12:06,755871
2,4,Advance shipping,Standard Class,9/5/2016 13:41,331717
4,4,Shipping on time,Standard Class,2/20/2016 4:09,959764
3,4,Advance shipping,Standard Class,1/3/2016 19:27,332526
2,4,Advance shipping,Standard Class,3/28/2016 8:07,845844
5,4,Late delivery,Standard Class,1/7/2016 0:11,945375
6,4,Late delivery,Standard Class,2/2/2018 2:38,707085
4,4,Shipping on time,Standard Class,1/7/2016 7:22,504339
2,4,Advance shipping,Standard Class,2/16/2016 5:54,799932
5,4,Late delivery,Standard Class,12/3/2015 1:06,784390
6,4,Late delivery,Standard Class,12/17/2015 15:17,887609
4,4,Shipping on time,Standard Class,9/21/2016 4:12,873116
4,4,Shipping on time,Standard Class,12/16/2016 1:59,738832
4,4,Shipping on time,Standard Class,11/1/2016 15:11,754380
2,4,Advance shipping,Standard Class,12/29/2017 20:01,973482
4,4,Shipping on time,Standard Class,2/16/2016 12:34,400625
3,4,Advance shipping,Standard Class,3/18/2016 7:58,951798
2,4,Advance shipping,Standard Class,3/30/2016 0:25,331510
4,4,Shipping on time,Standard Class,3/18/2016 20:03,409868
5,4,Late delivery,Standard Class,11/23/2015 9:53,287253
6,4,Late delivery,Standard Class,12/26/2015 16:29,843674
4,4,Shipping on time,Standard Class,9/14/2016 5:47,703754
5,4,Late delivery,Standard Class,9/12/2016 1:04,601580
3,4,Advance shipping,Standard Class,11/14/2015 3:45,493890
3,4,Advance shipping,Standard Class,12/16/2015 22:17,477249
4,4,Shipping on time,Standard Class,1/11/2016 5:57,759456
4,4,Shipping on time,Standard Class,12/18/2017 15:39,491940
6,4,Late delivery,Standard Class,3/21/2016 3:45,770925
3,4,Advance shipping,Standard Class,3/19/2016 10:14,960256
4,4,Shipping on time,Standard Class,2/10/2016 2:25,498131
2,4,Advance shipping,Standard Class,1/30/2018 15:46,795001
4,4,Shipping on time,Standard Class,12/22/2015 5:59,114056
5,4,Late delivery,Standard Class,1/22/2017 12:26,360334
5,4,Late delivery,Standard Class,12/18/2017 20:44,965044
4,4,Shipping on time,Standard Class,12/30/2017 18:26,950756
2,4,Advance shipping,Standard Class,1/29/2016 12:14,979634
3,4,Advance shipping,Standard Class,2/2/2018 11:54,898132
4,4,Shipping on time,Standard Class,9/3/2016 8:47,967192
5,4,Late delivery,Standard Class,11/22/2016 4:59,864383
2,4,Advance shipping,Standard Class,12/31/2016 15:26,386587
2,4,Advance shipping,Standard Class,3/12/2016 4:59,917309
4,4,Shipping on time,Standard Class,11/28/2017 19:11,901337
4,4,Shipping on time,Standard Class,12/14/2016 13:11,943769
2,4,Advance shipping,Standard Class,10/28/2016 6:25,763140
3,4,Advance shipping,Standard Class,10/22/2016 6:36,302936
4,4,Shipping on time,Standard Class,11/10/2016 23:24,273845
6,4,Late delivery,Standard Class,10/5/2016 16:27,681937
4,4,Shipping on time,Standard Class,9/7/2016 12:38,692539
5,4,Late delivery,Standard Class,11/12/2016 10:15,392553
3,4,Advance shipping,Standard Class,11/15/2016 5:10,872094
3,4,Advance shipping,Standard Class,11/29/2016 12:30,321074
6,4,Late delivery,Standard Class,12/15/2016 22:07,704793
5,4,Late delivery,Standard Class,10/7/2016 15:55,514958
4,4,Shipping on time,Standard Class,10/24/2016 21:30,152563
6,4,Late delivery,Standard Class,10/12/2016 14:51,301297
5,4,Late delivery,Standard Class,12/24/2016 9:30,321104
6,4,Late delivery,Standard Class,9/8/2016 12:48,839609
5,4,Late delivery,Standard Class,10/16/2016 15:22,715604
2,4,Advance shipping,Standard Class,10/13/2016 12:34,814603
5,4,Late delivery,Standard Class,11/1/2016 0:59,219491
5,4,Late delivery,Standard Class,10/10/2016 8:44,909169
3,4,Advance shipping,Standard Class,12/31/2016 18:46,239900
2,4,Advance shipping,Standard Class,9/3/2016 23:08,117470
3,4,Advance shipping,Standard Class,12/5/2016 6:54,155300
2,4,Advance shipping,Standard Class,10/10/2016 16:15,838502
2,4,Advance shipping,Standard Class,9/1/2016 2:49,365895
2,4,Advance shipping,Standard Class,10/20/2016 14:29,190420
6,4,Late delivery,Standard Class,9/4/2016 10:42,941264
6,4,Late delivery,Standard Class,1/4/2017 13:20,762279
6,4,Late delivery,Standard Class,10/19/2015 22:53,563786
6,4,Late delivery,Standard Class,10/5/2016 4:11,314043
3,4,Advance shipping,Standard Class,8/13/2015 21:35,716096
3,4,Advance shipping,Standard Class,8/17/2015 16:40,187441
6,4,Late delivery,Standard Class,8/16/2015 5:07,497426
2,4,Advance shipping,Standard Class,7/31/2017 19:42,139684
4,4,Shipping on time,Standard Class,9/9/2017 10:32,961761
2,4,Advance shipping,Standard Class,6/30/2017 22:43,141756
5,4,Late delivery,Standard Class,6/20/2015 10:27,622950
6,4,Late delivery,Standard Class,7/12/2017 23:03,833821
4,4,Shipping on time,Standard Class,9/9/2017 0:02,458704
3,4,Advance shipping,Standard Class,11/20/2016 2:32,443632
6,4,Late delivery,Standard Class,7/21/2017 3:15,788364
2,4,Advance shipping,Standard Class,9/15/2017 7:01,176239
5,4,Late delivery,Standard Class,10/8/2015 15:33,685911
6,4,Late delivery,Standard Class,10/9/2015 1:53,622505
5,4,Late delivery,Standard Class,9/7/2017 21:35,101460
6,4,Late delivery,Standard Class,11/22/2016 10:04,612208
3,4,Advance shipping,Standard Class,3/16/2017 21:18,240266
6,4,Late delivery,Standard Class,6/7/2017 8:13,410423
2,4,Advance shipping,Standard Class,2/23/2017 5:12,800019
4,4,Shipping on time,Standard Class,4/10/2017 11:27,478348
6,4,Late delivery,Standard Class,2/2/2017 2:16,909184
3,4,Advance shipping,Standard Class,2/15/2015 20:36,571163
2,4,Advance shipping,Standard Class,3/7/2017 18:30,575956
4,4,Shipping on time,Standard Class,5/9/2017 17:53,513506
2,4,Advance shipping,Standard Class,4/21/2015 4:03,903438
4,4,Shipping on time,Standard Class,3/24/2015 1:17,431596
3,4,Advance shipping,Standard Class,5/25/2017 1:56,561791
4,4,Shipping on time,Standard Class,5/22/2017 12:26,377172
5,4,Late delivery,Standard Class,2/25/2015 11:29,792912
6,4,Late delivery,Standard Class,5/10/2015 15:04,980554
6,4,Late delivery,Standard Class,2/25/2017 7:19,865088
5,4,Late delivery,Standard Class,2/4/2015 9:14,930849
5,4,Late delivery,Standard Class,3/31/2017 23:33,380480
3,4,Advance shipping,Standard Class,2/9/2017 13:27,194379
3,4,Advance shipping,Standard Class,4/3/2017 16:43,389281
5,4,Late delivery,Standard Class,4/29/2017 3:43,855376
3,4,Advance shipping,Standard Class,4/3/2017 14:58,993946
4,4,Shipping on time,Standard Class,4/1/2015 0:13,316976
4,4,Shipping on time,Standard Class,3/26/2015 16:21,353001
3,4,Advance shipping,Standard Class,1/9/2015 8:13,715372
4,4,Shipping on time,Standard Class,2/7/2017 5:14,612191
5,4,Late delivery,Standard Class,2/1/2015 0:39,963503
3,4,Advance shipping,Standard Class,6/2/2017 11:22,400359
2,4,Advance shipping,Standard Class,4/11/2015 21:35,252411
3,4,Advance shipping,Standard Class,3/10/2015 11:38,437744
2,4,Advance shipping,Standard Class,5/24/2015 7:20,264155
4,4,Shipping on time,Standard Class,6/11/2017 12:25,101890
2,4,Advance shipping,Standard Class,2/18/2017 0:50,548150
2,4,Advance shipping,Standard Class,2/8/2017 20:07,997297
6,4,Late delivery,Standard Class,3/16/2015 0:15,917426
5,4,Late delivery,Standard Class,2/26/2015 15:31,935949
4,4,Shipping on time,Standard Class,3/10/2017 9:13,757307
5,4,Late delivery,Standard Class,2/11/2017 1:54,986296
2,4,Advance shipping,Standard Class,6/2/2017 2:47,967032
3,4,Advance shipping,Standard Class,3/28/2015 8:49,215660
5,4,Late delivery,Standard Class,5/21/2015 21:00,427228
6,4,Late delivery,Standard Class,5/5/2015 3:41,420101
3,4,Advance shipping,Standard Class,1/15/2018 19:59,111090
2,4,Advance shipping,Standard Class,1/14/2018 19:38,698637
6,2,Late delivery,Second Class,1/18/2018 19:17,636542
5,4,Late delivery,Standard Class,1/17/2018 18:56,236433
4,4,Shipping on time,Standard Class,1/16/2018 18:35,885257
3,4,Advance shipping,Standard Class,1/15/2018 18:14,979603
2,4,Shipping canceled,Standard Class,1/14/2018 17:53,482995
6,2,Late delivery,Second Class,1/18/2018 17:32,993000
5,4,Late delivery,Standard Class,1/17/2018 17:11,759778
2,1,Late delivery,First Class,1/14/2018 16:50,305499
3,4,Advance shipping,Standard Class,1/15/2018 16:29,999201
2,4,Advance shipping,Standard Class,1/14/2018 16:08,726163
6,4,Late delivery,Standard Class,1/18/2018 15:47,791054
5,4,Late delivery,Standard Class,1/17/2018 15:26,621155
4,4,Shipping on time,Standard Class,1/16/2018 15:05,702099
3,4,Advance shipping,Standard Class,1/15/2018 14:44,357872
2,4,Advance shipping,Standard Class,1/14/2018 14:23,234791
6,2,Late delivery,Second Class,1/18/2018 14:02,621817
5,4,Late delivery,Standard Class,1/17/2018 13:41,362994
4,4,Shipping on time,Standard Class,1/16/2018 13:20,647956
3,4,Advance shipping,Standard Class,1/15/2018 12:59,237994
2,1,Late delivery,First Class,1/14/2018 12:38,834702
2,1,Late delivery,First Class,1/14/2018 12:17,212760
2,1,Late delivery,First Class,1/14/2018 11:56,671737
2,1,Late delivery,First Class,1/14/2018 11:35,406199
0,0,Shipping on time,Same Day,1/12/2018 23:14,258055
0,0,Shipping on time,Same Day,1/12/2018 22:53,844294
0,0,Shipping on time,Same Day,1/12/2018 22:32,422815
5,4,Late delivery,Standard Class,1/17/2018 10:11,185323
4,4,Shipping on time,Standard Class,1/16/2018 9:50,914177
3,4,Advance shipping,Standard Class,1/15/2018 9:29,953345
2,4,Advance shipping,Standard Class,1/14/2018 9:08,911362
6,4,Late delivery,Standard Class,1/18/2018 8:47,561970
5,4,Shipping canceled,Standard Class,1/17/2018 8:26,496381
4,2,Late delivery,Second Class,1/16/2018 8:05,153814
3,4,Advance shipping,Standard Class,1/15/2018 7:44,350240
2,2,Shipping on time,Second Class,1/14/2018 7:23,501189
2,1,Late delivery,First Class,1/14/2018 7:02,386390
5,2,Late delivery,Second Class,1/17/2018 6:41,646064
4,2,Late delivery,Second Class,1/16/2018 6:20,109914
3,4,Advance shipping,Standard Class,1/15/2018 5:59,658957
2,4,Advance shipping,Standard Class,1/14/2018 5:38,787201
6,4,Late delivery,Standard Class,1/18/2018 5:16,203072
5,4,Late delivery,Standard Class,1/17/2018 4:55,275966
4,2,Late delivery,Second Class,1/16/2018 4:34,973507
3,2,Shipping canceled,Second Class,1/15/2018 4:13,605262
2,4,Advance shipping,Standard Class,1/14/2018 3:52,699937
6,4,Late delivery,Standard Class,1/18/2018 3:31,818751
5,4,Late delivery,Standard Class,1/17/2018 3:10,661004
4,2,Late delivery,Second Class,1/16/2018 2:49,465008
3,4,Advance shipping,Standard Class,1/15/2018 2:28,100832
2,4,Advance shipping,Standard Class,1/14/2018 2:07,917675
6,2,Late delivery,Second Class,1/18/2018 1:46,773966
5,2,Late delivery,Second Class,1/17/2018 1:25,346788
2,1,Late delivery,First Class,1/14/2018 1:04,455549
2,1,Late delivery,First Class,1/14/2018 0:43,898350
2,2,Shipping on time,Second Class,1/14/2018 0:22,174002
6,2,Late delivery,Second Class,1/18/2018 0:01,832678
5,2,Late delivery,Second Class,1/16/2018 23:40,802585
2,1,Late delivery,First Class,1/13/2018 23:19,728222
2,1,Late delivery,First Class,1/13/2018 22:58,229181
2,1,Late delivery,First Class,1/13/2018 22:37,199155
6,4,Late delivery,Standard Class,1/17/2018 22:16,764909
5,4,Late delivery,Standard Class,1/16/2018 21:55,747728
4,4,Shipping on time,Standard Class,1/15/2018 21:34,324772
3,4,Advance shipping,Standard Class,1/14/2018 21:13,886050
2,4,Advance shipping,Standard Class,1/13/2018 20:52,111750
6,4,Late delivery,Standard Class,1/17/2018 20:31,963500
5,4,Late delivery,Standard Class,1/16/2018 20:10,741732
4,4,Shipping on time,Standard Class,1/15/2018 19:49,121720
3,4,Advance shipping,Standard Class,1/14/2018 19:28,291081
2,4,Advance shipping,Standard Class,1/13/2018 19:07,910072
6,4,Late delivery,Standard Class,1/17/2018 18:46,112554
5,4,Late delivery,Standard Class,1/16/2018 18:25,275151
4,4,Shipping on time,Standard Class,1/15/2018 18:04,361531
3,4,Advance shipping,Standard Class,1/14/2018 17:43,721416
2,4,Advance shipping,Standard Class,1/13/2018 17:22,211382
6,4,Late delivery,Standard Class,1/17/2018 17:01,838392
5,4,Late delivery,Standard Class,1/16/2018 16:40,653416
4,2,Late delivery,Second Class,1/15/2018 16:19,512411
3,2,Late delivery,Second Class,1/14/2018 15:58,522366
2,1,Late delivery,First Class,1/13/2018 15:37,399005
6,2,Late delivery,Second Class,1/17/2018 15:16,342639
5,2,Late delivery,Second Class,1/16/2018 14:55,369355
4,2,Late delivery,Second Class,1/15/2018 14:34,861574
1,0,Late delivery,Same Day,1/12/2018 2:13,309929
1,0,Late delivery,Same Day,1/12/2018 1:52,850531
1,0,Late delivery,Same Day,1/12/2018 1:31,748524
1,0,Late delivery,Same Day,1/12/2018 1:10,653834
1,0,Late delivery,Same Day,1/12/2018 0:49,293548
1,0,Shipping canceled,Same Day,1/12/2018 0:28,740369
1,0,Late delivery,Same Day,1/12/2018 0:06,872411
6,4,Late delivery,Standard Class,1/17/2018 11:45,199494
5,4,Late delivery,Standard Class,1/16/2018 11:24,223439
4,4,Shipping on time,Standard Class,1/15/2018 11:03,544886
3,4,Advance shipping,Standard Class,1/14/2018 10:42,129475
6,2,Late delivery,Second Class,2/21/2015 16:13,478110
2,2,Shipping on time,Second Class,12/25/2016 21:03,263071
6,2,Late delivery,Second Class,3/24/2016 8:50,276706
3,2,Late delivery,Second Class,2/13/2016 9:25,144557
2,2,Shipping on time,Second Class,4/3/2016 20:01,145264
2,2,Shipping on time,Second Class,11/21/2015 5:51,337625
6,2,Late delivery,Second Class,1/16/2016 15:14,484242
5,2,Late delivery,Second Class,12/5/2015 2:09,673695
5,2,Late delivery,Second Class,2/5/2016 13:38,779612
3,2,Late delivery,Second Class,2/20/2016 23:35,302692
5,2,Late delivery,Second Class,7/30/2016 14:47,990415
2,2,Shipping on time,Second Class,5/22/2016 12:25,645682
5,2,Late delivery,Second Class,7/8/2016 20:46,439090
6,2,Late delivery,Second Class,8/14/2016 3:12,297291
3,2,Late delivery,Second Class,11/23/2016 21:38,259120
2,2,Shipping on time,Second Class,10/17/2016 12:55,667752
6,2,Late delivery,Second Class,7/28/2015 17:56,666501
2,2,Shipping on time,Second Class,9/9/2015 4:22,823530
2,2,Shipping on time,Second Class,6/17/2015 5:54,601312
2,2,Shipping on time,Second Class,6/26/2015 5:21,848211
3,2,Late delivery,Second Class,9/27/2017 13:08,817250
2,2,Shipping on time,Second Class,10/31/2016 18:30,959827
2,2,Shipping on time,Second Class,7/22/2015 11:58,695039
